Source;Target;Weight
VISUALIZATION;ONLINE LEARNING;14
DESIGN-RELATED;ONLINE LEARNING;16
ASSESSMENT;ONLINE LEARNING;10
COMPUTER MEDIATED COMMUNICATION;ONLINE LEARNING;16
HIGHER EDUCATION;SOCIAL NETWORK;24
COMMUNITY OF LEARNERS;SOCIAL NETWORK;12
CENTRALITY;SOCIAL NETWORK;16
ACADEMIC ACHIEVEMENT;SOCIAL NETWORK;36
SOCIAL CAPITAL;SOCIAL NETWORK;12
FRIENDSHIP;SOCIAL NETWORK;10
RELATIONSHIP;SOCIAL NETWORK;12
COMPUTER MEDIATED COMMUNICATION;SOCIAL NETWORK;16
PROFESSIONAL DEVELOPMENT;SOCIAL NETWORK;10
COMMUNITY DETECTION;SOCIAL NETWORK;12
CONTENT/TEXT ANALYSIS;INTERACTION;24
FORUM;INTERACTION;32
COMMUNITY OF LEARNERS;INTERACTION;14
CENTRALITY;INTERACTION;12
LEARNING MANAGEMENT SYSTEM;INTERACTION;16
MOOC;INTERACTION;20
PARTICIPATION;INTERACTION;10
COMMUNITY OF LEARNERS;HIGHER EDUCATION;16
SOCIAL MEDIA;HIGHER EDUCATION;18
LEARNING MANAGEMENT SYSTEM;HIGHER EDUCATION;12
ACADEMIC ACHIEVEMENT;HIGHER EDUCATION;12
RELATIONSHIP;HIGHER EDUCATION;10
MIXED METHODS;HIGHER EDUCATION;10
EDUCATION;HIGHER EDUCATION;10
FORUM;CONTENT/TEXT ANALYSIS;18
COMMUNITY OF LEARNERS;CONTENT/TEXT ANALYSIS;24
EPISTEMIC NETWORK ANALYSIS;CONTENT/TEXT ANALYSIS;14
COMMUNITY OF LEARNERS;FORUM;12
CENTRALITY;FORUM;10
LEARNING MANAGEMENT SYSTEM;FORUM;22
MOOC;FORUM;28
VISUALIZATION;FORUM;12
PARTICIPATION;FORUM;22
SOCIAL MEDIA;COMMUNITY OF LEARNERS;16
LEARNING MANAGEMENT SYSTEM;COMMUNITY OF LEARNERS;10
COMPUTER MEDIATED COMMUNICATION;COMMUNITY OF LEARNERS;16
ONLINE COMMUNITY;COMMUNITY OF LEARNERS;10
ACADEMIC ACHIEVEMENT;CENTRALITY;12
VISUALIZATION;LEARNING MANAGEMENT SYSTEM;10
COMPUTER MEDIATED COMMUNICATION;LEARNING MANAGEMENT SYSTEM;16
MOOC;ACADEMIC ACHIEVEMENT;10
FRIENDSHIP;ACADEMIC ACHIEVEMENT;16
PARTICIPATION;MOOC;12
COMMUNITY DETECTION;MOOC;10
RELATIONSHIP;FRIENDSHIP;12
ADOLESCENT;FRIENDSHIP;16
ONLINE COMMUNITY;COMPUTER MEDIATED COMMUNICATION;10
